"tick","Total Cars","Total Cyclists","Total Walkers","Total Pub Transport","Average Health","Average Cycle Ability","Average Safety Perception"
0.5,201,38,87,74,0.757936,0.48499,-nan
1.5,201,38,87,74,0.763813,0.48499,-nan
2.5,201,38,87,74,0.76945,0.48499,-nan
3.5,201,38,87,74,0.775096,0.48499,-nan
4.5,201,38,87,74,0.780621,0.48499,-nan
5.5,201,38,87,74,0.785635,0.48499,-nan
6.5,201,38,87,75,0.789991,0.485186,-nan
7.5,201,38,87,75,0.794248,0.485186,-nan
8.5,201,38,87,75,0.798267,0.485186,-nan
9.5,201,38,87,75,0.801723,0.485186,-nan
10.5,201,38,87,75,0.805026,0.485186,-nan
11.5,201,38,87,75,0.808144,0.485186,-nan
12.5,201,38,87,75,0.811007,0.485186,-nan
13.5,201,38,87,76,0.812913,0.484256,-nan
14.5,201,38,87,76,0.815414,0.484256,-nan
15.5,201,38,87,76,0.817655,0.484256,-nan
16.5,201,38,87,76,0.819632,0.484256,-nan
17.5,201,38,87,76,0.821184,0.484256,-nan
18.5,201,38,87,76,0.822486,0.484256,-nan
19.5,201,38,87,76,0.823724,0.484256,-nan
20.5,201,38,87,77,0.824686,0.484256,-nan
21.5,201,38,87,77,0.82588,0.484256,-nan
22.5,201,38,87,77,0.827055,0.484256,-nan
23.5,201,38,87,77,0.828121,0.484256,-nan
24.5,201,38,87,77,0.828873,0.484256,-nan
25.5,201,38,87,77,0.829348,0.484256,-nan
26.5,201,38,87,77,0.829743,0.484256,-nan
27.5,201,38,87,78,0.829943,0.485147,-nan
28.5,201,38,87,78,0.830334,0.485147,-nan
29.5,201,38,87,78,0.830639,0.485147,-nan
30.5,201,38,87,78,0.830865,0.485147,-nan
31.5,201,38,87,78,0.831046,0.485147,-nan
32.5,201,38,87,78,0.83118,0.485147,-nan
33.5,201,38,87,78,0.831272,0.485147,-nan
34.5,201,38,87,79,0.83126,0.484297,-nan
35.5,201,38,87,79,0.831352,0.484297,-nan
36.5,201,38,87,79,0.831427,0.484297,-nan
37.5,201,38,87,79,0.831472,0.484297,-nan
38.5,201,38,87,79,0.831519,0.484297,-nan
39.5,201,38,87,79,0.831566,0.484297,-nan
40.5,201,38,87,79,0.831614,0.484297,-nan
41.5,201,38,87,80,0.831532,0.485344,-nan
42.5,201,38,87,80,0.831532,0.485344,-nan
43.5,201,38,87,80,0.831532,0.485344,-nan
44.5,201,38,87,80,0.831532,0.485344,-nan
45.5,201,38,87,80,0.831532,0.485344,-nan
46.5,201,38,87,80,0.831532,0.485344,-nan
47.5,201,38,87,80,0.831532,0.485344,-nan
48.5,201,38,87,81,0.831174,0.485673,-nan
49.5,201,38,87,81,0.831174,0.485673,-nan
50.5,201,38,87,81,0.831174,0.485673,-nan
51.5,201,38,87,81,0.831174,0.485673,-nan
52.5,201,38,87,81,0.831174,0.485673,-nan
