"tick","Total Cars","Total Cyclists","Total Walkers","Total Pub Transport","Average Health","Average Cycle Ability","Average Safety Perception"
0.5,226,25,74,75,0.732971,0.505005,0.601331
1.5,199,39,76,86,0.733213,0.505005,0.601349
2.5,203,39,74,84,0.733403,0.505005,0.601336
3.5,208,34,76,82,0.733506,0.505005,0.601363
4.5,204,41,72,83,0.733724,0.505005,0.60137
5.5,201,46,73,80,0.734053,0.505005,0.601365
6.5,210,45,80,66,0.734176,0.504799,0.600494
7.5,187,40,93,81,0.734652,0.504799,0.600487
8.5,192,43,73,93,0.734958,0.504799,0.600496
9.5,191,50,66,94,0.735341,0.504799,0.600496
10.5,184,38,80,99,0.735689,0.504799,0.600496
11.5,204,37,72,88,0.735804,0.504799,0.600491
12.5,207,39,79,76,0.736024,0.504799,0.600485
13.5,198,38,81,85,0.736616,0.503966,0.599749
14.5,206,39,81,76,0.736857,0.503966,0.599739
15.5,204,49,77,72,0.737221,0.503966,0.599737
16.5,214,44,64,80,0.737362,0.503966,0.599731
17.5,192,52,76,82,0.737832,0.503966,0.599722
18.5,184,48,85,85,0.738381,0.503966,0.599714
19.5,190,44,78,90,0.738762,0.503966,0.599708
20.5,197,40,82,84,0.739497,0.504226,0.600162
21.5,203,46,76,78,0.739797,0.504226,0.600156
22.5,197,40,82,84,0.740062,0.504226,0.600152
23.5,203,38,76,86,0.740228,0.504226,0.600147
24.5,195,36,73,99,0.740377,0.504226,0.600142
25.5,198,36,78,91,0.740555,0.504226,0.600138
26.5,197,39,70,97,0.740714,0.504226,0.600133
27.5,186,46,83,89,0.741358,0.504584,0.60056
28.5,189,47,78,90,0.741747,0.504584,0.600558
29.5,193,46,83,82,0.742116,0.504584,0.600555
30.5,212,38,77,77,0.742193,0.504584,0.60055
31.5,202,49,64,89,0.742417,0.504584,0.600545
32.5,209,50,62,83,0.742611,0.504584,0.600541
33.5,197,55,75,77,0.743036,0.504584,0.600539
34.5,199,47,78,81,0.742885,0.503421,0.600086
